127.0.0.1 - - [22/Oct/2020:09:40:09 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [22/Oct/2020:09:40:09 +0900] "GET /WebProject/day1021/ex6_munje.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2020:09:40:09 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [22/Oct/2020:09:40:11 +0900] "GET /WebProject/day1021/ex6_munjejson.json HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2020:09:40:12 +0900] "GET /WebProject/day1021/ex6_munjexml.xml HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2020:09:45:04 +0900] "GET /WebProject/day1021/ex6_munje.html HTTP/1.1" 200 2089
0:0:0:0:0:0:0:1 - - [22/Oct/2020:09:46:50 +0900] "GET /WebProject/day1021/ex6_munje.html HTTP/1.1" 200 2145
0:0:0:0:0:0:0:1 - - [22/Oct/2020:09:46:51 +0900] "GET /WebProject/day1021/ex6_munje.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2020:09:46:52 +0900] "GET /WebProject/day1021/ex6_munje.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2020:09:46:54 +0900] "GET /WebProject/day1021/ex6_munje.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2020:09:46:56 +0900] "GET /WebProject/day1021/ex6_munje.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2020:09:46:58 +0900] "GET /WebProject/day1021/ex6_munje.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2020:10:16:57 +0900] "GET /WebProject/day1021/ex6_munje.html HTTP/1.1" 200 2191
0:0:0:0:0:0:0:1 - - [22/Oct/2020:10:54:45 +0900] "GET /WebProject/day1022/ex2_ajaxread.html HTTP/1.1" 200 585
0:0:0:0:0:0:0:1 - - [22/Oct/2020:10:56:47 +0900] "GET /WebProject/day1022/ex2_ajaxread.html HTTP/1.1" 200 1104
0:0:0:0:0:0:0:1 - - [22/Oct/2020:10:58:56 +0900] "GET /WebProject/day1022/ex2_ajaxread.html HTTP/1.1" 200 1193
0:0:0:0:0:0:0:1 - - [22/Oct/2020:10:58:57 +0900] "GET /WebProject/day1022/ex2_ajaxread.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2020:10:59:00 +0900] "GET /WebProject/day1022/ex2_ajaxread.html HTTP/1.1" 304 -
